No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
84,Very Rare,28/112,偽りの悪魔神王デス・マリッジ,Codecommand Death Marriage,Light/Darkness,DM23-EX2,https://duelmasters.fandom.com/wiki/Codecommand_Death_Marriage,120,1.04,0
85,Very Rare,29/112,魔光大帝ネロ・グリフィスII世,"Nero Gryphis the 2nd, Mystic Light Emperor",Light/Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/Nero_Gryphis_the_2nd,_Mystic_Light_Emperor",120,1.04,0
86,Very Rare,30/112,真紅の魔光大帝ネロ・グリフィス・マイヤー,"Nero Gryphis Meier, Crimson Mystic Light Emperor",Light/Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/Nero_Gryphis_Meier,_Crimson_Mystic_Light_Emperor",120,1.04,0
87,Very Rare,31/112,頂上接続ムザルミ＝ブーゴ1st,"Mzalmi=Bugo First, Connected Summit",Light/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Mzalmi%3DBugo_First,_Connected_Summit",220,1.91,0
88,Very Rare,32/112,ガイアッシュの海地図,Gaiash's Vision,Water/Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Gaiash%27s_Vision,320,2.78,0
89,Very Rare,33a/112,爆剣士グレンモルト剣,"Glenmalt Buster, Explosive Swordsman",Fire/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Glenmalt_Buster,_Explosive_Swordsman",120,1.04,0
90,Very Rare,33b/112,龍剣星王紅鬼勝,"Star King Red Oni Victory, Dragon Sword",Fire/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Star_King_Red_Oni_Victory,_Dragon_Sword",120,1.04,0
91,Very Rare,34/112,並替と選択の門,Sorting Gate,Light/Darkness/Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Sorting_Gate,120,1.04,0
92,Very Rare,35/112,Disアイ・チョイス,Disi Choice,Water/Darkness/Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Disi_Choice,180,1.57,0
93,Very Rare,36/112,魅惑のロイヤル・エイリアン,Captivating Royal Alien,Light/Water/Darkness/Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Captivating_Royal_Alien,220,1.91,0
94,Very Rare,37/112,頂上印鑑パラキン8th,"Parakin 8th, Stamp Summit / ""Theres a monster...""",Light/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Parakin_8th,_Stamp_Summit_/_%22Theres_a_monster...%22",320,2.78,0
95,Very Rare,38/112,魔神頂上“密愛流”9th,"Magiteppen Mizzail Ninth / ""Perfect! Perfect!!""",Water,DM23-EX2,https://duelmasters.fandom.com/wiki/Magiteppen_Mizzail_Ninth_/_%22Perfect!_Perfect!!%22,180,1.57,0
96,Very Rare,39/112,審絆の彩り喜望,"Hope, Judgment Bond's Rainbow / Keyboard Access",Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Hope,_Judgment_Bond%27s_Rainbow_/_Keyboard_Access",120,1.04,0
